Result,Word,Lemma,Analysis,Context
A,پێشمەرگەکاندا,پێشمەرگە,«پێشمەرگە»[ADJ]«ەکە»{Definite=Def}«ان»{Number=Plur}«دا»{Clitic=Da}{AdpType=Circ},دواتر بەشوێن پێشمەرگەکاندا دەگەڕا
A,پێشێل,پێشێل,«پێشێل»[NOUN],هەر ڕێکلامێک سیاسەت و یاساکانیان پێشێل بکات بە خێرایی لا دەبرێت
A,پێکهێنانی,پێکهێنان,«پێک»«هێنا»[NOUN]«ن»{Masdar}{Compound}«ی»{Clitic=Izafe},کورد کلیلی چارەسەری کێشەی پێکهێنانی حکومەتی عێراق
A,پێگەی,پێگە,«پێگە»[NOUN]«ی»{Clitic=Izafe},بەپێی ڕیزبەدیش پێگەی ئەلکترۆنی ئەو 10 یانەیەی زۆرترین سەردانیکەریان هەیە بەم شێوەیەیە
A,پێناسە,پێناسە,«پێناسە»[NOUN],پێناسە، باوکی دوین
A,پێنج,پێنج,«پێنج»[NUM]{NumType=Card},پێنج سەرباز لە خانەقین کوژران
A,پێوەندیی,پەیوەندی,«پەیوەندی»{NS}[NOUN]«ی»{Clitic=Izafe},ئاشکرابوونی وردەکاریی زیاتری پێوەندیی نێوان تۆڕی تیرۆریستیی دژە ئێرانی و ئەمریکا
A,پێویست,پێویست,«پێویست»[ADJ],پێویست بە ئاماژەیە کە وێنە و فیلم گرتنیان تەنانەت بە موبایل تەلەفوونیش قەدەغە کردبووە.
A,پێویستە,پێویست,«پێویست»[ADJ]«ە»{Copula}{Person=3}{Number=Sing},بەڵام چ بکەم پارەم پێویستە و گیرفانم گەسکی لێ دراوە.
A,پێویستی,پێویست,«پێویست»[ADJ]«ی»{Person=3}{Number=Sing},ئەگەر یانەکەت پێویستی پێت هەبێت ئەوا دەکرێت بمێنیتەوە
A,تا,تا,«تا»[ADP],پڕۆژە بودجەی 2011 ی عێراق تا ئێستا نەگەڕاوەتەوە وەزارەتی دارایی
A,تابلۆیەکدا,تابلۆ,«تابلۆ»[NOUN]«ێک»{Definite=Ind}«دا»{Clitic=Da}{AdpType=Circ},لەگەڵ ڕوونکردنەوەی هەر تابلۆیەکدا، باوەش لە هاوڕێکانی دەدا
A,تابلۆیەکیدا,تابلۆ,«تابلۆ»[NOUN]«ێک»{Definite=Ind}«ی»{Person[psor]=3}{Number[psor]=Sing}«دا»{Clitic=Da}{AdpType=Circ},هەمان جیاوازی ئەو ڕەنگانەیە کە هونەرمەندێک لە تابلۆیەکیدا بە کاری دێنێت.
A,تاجیرەکانی,تاجیر,«تاجیر»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«ی»{Person[psor]=3}{Number[psor]=Sing},داعش لە مووسڵ دا باج و خەراجێکی قوورسی لە بازرگانان و تاجیرەکانی خستووە. لەم بارەوە کەیوان بەلیتی ڕاپۆرت دەدات:
A,تار,تار,«تار»[ADJ],نیگای ڕوون و گەشی ئاسۆی بەیانم لێڵ و تار دی
A,تاریک,تاریک,«تاریک»[ADJ],بمبوورن کە ئەوەندە تاریک دەڕشێمەوە
A,تاقی,تاقی,«تاقی»[NOUN],زۆر پیاوی دیکەش بۆ تاقی کردنەوەی بەختی خۆیان دێن، یەکیان سەرباز دەبێت:
A,تاڵەبانی,تاڵەبانی,«تاڵەبانی»[PROPN]{NE=Person},هەروەها سەرۆک تاڵەبانی باسی لە ناوەرۆکی دیدار و چاوپێکەوتنەکانی کرد
A,تاوتوێی,تاوتوێ,«تاوتوێ»[NOUN]«ی»{Clitic=Izafe},تاوتوێی پێدانی مافی پەنابەری بە موجاهیدین لەلایەن ئاڵمانەوە
A,تایبەتەکان,تایبەت,«تایبەت»[ADJ]«ەکە»{Definite=Def}«ان»{Number=Plur},پەرلەمان گفتوگۆی پێنج پڕۆژەیاسای تایبەت بە خاوەن پێداویستییە تایبەتەکان دەکات
A,تر,تر,«تر»[ADJ],جا پیشەوەر بین یان قوتابی یان نووسەر یان مامۆستا یان هەر شتێکی تر.
A,تراژیدیا,تراژیدیا,«تراژیدیا»[NOUN]«ە»{Clitic=Izafe},تراژیدیا سیاسییەکانی مستەفا کەمالی تورک لە مالیکییەکاندا دوبارە دەبنەوە
A,تردا,تر,«تر»[ADJ]«دا»{Clitic=Da}{AdpType=Circ},بەرژەوەندی باڵا بڕیاردەری یەکەمە لە پەیوەندییە سیاسییە نێودەوڵەتی و هەرێمایەتی و کۆی مەسەلەکانی تردا
A,ترس,ترس,«ترس»[NOUN],ئەمەش بۆتە هۆی ترس و دڵەڕاوکێی زیندانییان.
A,ترسی,ترس,«ترس»[NOUN]«ی»{Clitic=Izafe},یایا تۆرێ لە ترسی کچان ژمارەکەی دەگۆڕێت
A,تری,تر,«تر»[ADJ]«ی»{Clitic=Izafe},ئۆتۆمبێلێکی تری جیمس بۆند فرۆشرا
A,تفەنگەکانیان,تفەنگ,«تفەنگ»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«یان»{Person=3}{Number=Plur},تفەنگەکانیان یەک یەک دەشکێنن
A,تەشکیلاتی,تەشکیلات,«تەشکیلات»[NOUN]«ی»{Clitic=Izafe},کار و هەڵسووڕانی تەشکیلاتی نهێنی لە شاری بۆکان
A,تەقینەوە,تەقین,«تەقی»[NOUN]«ن»{Masdar}{Source=Intr}«ەوە»{Clitic=Ewe}{AdpType=Circ},کوژراوەکانی تەقینەوە لە باشووری تورکیا لە نزیک سنوری ئەو وڵاتە لەگەڵ سوریا گەیشتە 46 کەس
A,تەقینەوەی,تەقینەوە,«تەقی»[NOUN]«ن»«ەوە»{Masdar}{Source=Intr}«ی»{Clitic=Izafe},بەهۆی تەقینەوەی بۆمب لە پایتەختی عێراق 24 کەس دەکوژرێن
A,تەمەن,تەمەن,«تەمەن»[NOUN],کچە کوردێکی تەمەن 18 ساڵەی خەڵکی شاری بانە
A,تەندروستی,تەندروستی,«تەندروستی»[NOUN],وەزیری تەندروستی: لە ئەنجامی تەقینەوەکانی ئەمڕۆی هەولێر، 6 بوونە قوربانی و 62 کەس بریندارن
A,تەنیا,تەنیا,«تەنیا»[ADV],نەوشیروان ڕەشید: تەنیا پەرلەمانی باسک و کاتالۆنییەکان لە جیهاندا دانیان نا بە پەرلەمانی کوردستان
A,تەنیاییی,تەنیایی,«تەنیایی»[NOUN]«ی»{Clitic=Izafe},خەمی تەنیایی تارا
A,تەواو,تەواو,«تەواو»[ADJ],ئاواتیشی ئەوەیە بتوانێت ئەکادیمیای هونەرەجوانەکان تەواو بکات
A,تەواوی,تەواو,«تەواو»[ADJ]«ی»{Person=3}{Number=Sing},ڕاهێنەری یانەی ویستهام ی ئینگلیزی متمانەی تەواوی بە سۆنگ هەیە
A,تواناسازیی,تواناسازی,«تواناسازی»[NOUN]«ی»{Clitic=Izafe},بودجە و تواناسازیی مرۆیی
A,تواندنەوە,تواندنەوە,«تو»[NOUN]«اند»«ن»«ەوە»{Masdar}{Source=Cau-Pass},هەڵوێست و ڕاچڵەکین لە بەرانبەر تواندنەوە و وێرانکردنی ئەدەب
A,توانیویانە,توانین,«توانی»[VERB]{Subcat=Tran}«وو»{Tense=Pres}{Aspect=Perf}{Mood=Ind}«یان»{Person[erg]=3}{Number[erg]=Plur}«ە»{Person[abs]=3}{Number[abs]=Sing},ژمارەی ئەو پەنابەرانەی خەڵکی سووریا لەوانەی توانیویانە بگەنە ناوخاکی تورکیا تا بەیانی دووشەممە گەیشتووەتە شەش هەزار و هەشتسەد و حەڤدە کەس.
A,تورکیا,تورکیا,«تورکیا»[PROPN]{NE=Location},وتووێژی تورکیا لەگەڵ ئۆجالاندا
A,توندوتیژی,توندوتیژی,«توندوتیژی»[NOUN],کاردانەوەی گوتەبێژی وەزارەتی دەرەوەی ئێران بە تەشەنەی توندوتێژی لە ئوکراین
A,تونس,توونس,«توونس»{NS}[PROPN]{NE=Location},بۆ هەڵبژاردنی یەکەم سەرۆک کۆماری تونس
A,تووڕە,تووڕە,«تووڕە»[ADJ],تووڕە و جینگزیانە ئالیووشا لە دەمی دەرپەڕی
A,تویتەر,تویتەر,«تویتەر»[PROPN]{NE=Organ},تویتەر ئەمریکا ئەکات بەگژ تورکیادا
A,تۆ,تۆ,«تۆ»{Number=Sing}{Person=2}[PRON]{PronType=Prs},سوارە: کێ بانگهێشتنی تۆ وەرنەگرێت؟
A,تۆپەکە,تۆپ,«تۆپ»[NOUN]«ەکە»{Definite=Def},یاریزانێک بە مەبەستی نەهێشتنی تۆپەکە بۆ دەرەوەی یاریگا، لە ڕاهێنەری یانەکەی دەدات و دەیکێشێت بە زەویدا:
A,تۆتنهام,تۆتێنهام,«تۆتێنهام»{NS}[PROPN]{NE=Organ},تۆتنهام 17 ملیۆن یۆرۆ دەدات لەپێناو گۆڵچی یانەی لیۆن
A,تۆمارکراو,تۆمارکردن,«تۆمار»«کرا»[ADJ]«وو»{PP}{Compound},بە پشتبەستن بە ئاماری تۆمارکراو لە ناوەندی ئاماری ئاژانسی هەواڵدەریی کوردپا
A,تۆمەتانەشی,تۆمەت,«تۆمەت»[NOUN]«ان»{Number=Plur}«ە»{Clitic=DiscontinuousDem}«یش»{Clitic=îş}«ی»{Person=3}{Number=Sing},ئەگەر ئەو تۆمەتانەشی لە سەر ساخبببێتەوە ئەو دەم مورسی سزا دەدرێت
A,تۆی,تۆ,«تۆ»{Number=Sing}{Person=2}[PRON]{PronType=Prs}«ی»{Clitic=Izafe},بەڵام تۆی باش، تۆی خاوێن ناچارت کردم تەسلیم بم
A,تۆیە,تۆ,«تۆ»{Number=Sing}{Person=2}[PRON]{PronType=Prs}«ە»{Copula}{Person=3}{Number=Sing},ئەوەی مەبەستی تۆیە دەیدۆزێتەوە.
A,تیرۆر,تیرۆر,«تیرۆر»[NOUN],جەنگ لەگەڵ تیرۆر جەنگی ئەم چەرخەیە
A,تیرۆری,تیرۆر,«تیرۆر»[NOUN]«ی»{Clitic=Izafe},دەزگای دژە تیرۆری عێراق لە وتووێژ لەگەڵ ماڵپەڕی ڕاگەیاندنی سومریەنیوز ڕایگەیاند
A,تیرۆریستی,تیرۆریستی,«تیرۆریستی»[ADJ],ئەگەر عێراق بە ڕەسمی موجاهیدینەکان بە گرووپێکی تیرۆریستی بناسێنێت
A,تیرۆریستیی,تیرۆریستی,«تیرۆریستی»[ADJ]«ی»{Clitic=Izafe},سپای قودس و حیزبۆڵڵا لە هەوڵی هێرش تیرۆریستیی دیکە دان
A,جار,جار,«جار»[NOUN],کاربەدەستانی سوپا گەلێک جار گوشاریان خستۆتە سەر میدیاکان و دۆزیان لە چاپەمەنی کردوتەوە.
A,جارێکی,جار,«جار»[NOUN]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},جارێکی دیکە ئەنجیلینا و براد پێت پێکەوە ڕۆڵ دەگێڕن
A,جامی,جام,«جام»[NOUN]«ی»{Clitic=Izafe},بە پێی ئامارێک، کام هەڵبژاردە دەکاتە باشترینی جامی کیشوەرەکان؟
A,جبووری,جبووری,«جبووری»[PROPN]{NE=Person},سەلیم جبووری سەرۆکی پارلەمانی عێراق
A,جگە,جگە,«جگە»[ADV],فەیسەڵ عەلی جگە لە نەوت هیچ کاڵایەکی تری نییە
A,جەماوەری,جەماوەر,«جەماوەر»[NOUN]«ی»{Clitic=Izafe},جەماوەری بەرشەلۆنە داوای کاڤانی دەکەن
A,جووڵاندنی,جووڵان,«جووڵ»[NOUN]«اند»«ن»{Masdar}{Source=Cau}«ی»{Clitic=Izafe},بیلال سلێمان: ئەگەری بەهێزی ئۆپۆزسیۆن جووڵاندنی شەقامە
A,جووڵاوەکان,جووڵان,«جووڵا»[ADJ]«وو»{PP}{Source=Intr}«ەکە»{Definite=Def}«ان»{Number=Plur},هەست بەوە دەکرێت دروستکردنی وێنەی جێگیر و وێنە جووڵاوەکان، لە شیعرەکانیدا بەهۆی پاڵنانی وشە بە وشەوەیە
A,جیهانییەکان,جیهانی,«جیهانی»[ADJ]«ەکە»{Definite=Def}«ان»{Number=Plur},زەریف: بزووتنەوە ی بێلایەنەکان بۆ چارەسەریی کێشە جیهانییەکان هەوڵ دەدات
A,جێ,جێ,«جێ»[NOUN],10 یاریزانی میلان کۆتایی ئەم وەرزە ڕیزی یانەکەیان جێ دەهێڵن.
A,جێگری,جێگر,«جێگر»[ADJ]«ی»{Clitic=Izafe},پێویستە جێگری سەرۆک لە کابینەی هەشت ژن بێت
A,جێگەیانە,جێگە,«جێگە»[NOUN]«یان»{Person[psor]=3}{Number[psor]=Plur}«ە»{Copula}{Person=3}{Number=Sing},ئەندامانی گروپەکە هەڵمەتێکی پاککردنەوەی ئەو جێگەیانە لە خۆڵ و خاشاکی بەجێماو ئەنجامدا.
A,چ,چ,«چ»[ADJ],داعش بە چ شێوازێک بارمتەکانی دەفرۆشێت؟
A,چاد,چاد,«چاد»[PROPN]{NE=Location},ئەمەریکا هێز لە چاد جێگیر دەکات بۆ دۆزینەوەی کچە قوتابییە ڕفێندراوەکانی نایجیریا
A,چارەسەرکردنی,چارەسەرکردن,«چارەسەر»«کرد»[NOUN]«ن»{Masdar}{Compound}«ی»{Clitic=Izafe},چارەسەرکردنی تەنگژەکە بە دیالۆگ
A,چارەسەری,چارەسەر,«چارەسەر»[NOUN]«ی»{Person=3}{Number=Sing},ئەو دڵی شکابوو و ئەوانە دەیانویست بە دەوا و دەرمان و حەب و ئەو جۆرە شتانە چارەسەری بکەن.
A,چارەسەریشی,چارەسەر,«چارەسەر»[NOUN]«یش»{Clitic=îş}«ی»{Person=3}{Number=Sing},سەیرە لە هەندێک وڵاتا شتی زۆر ئاسایی ئەکرێتە کێشە و چارەسەریشی بۆ ئەدۆزرێتەوە
A,چاڤی,چاڤی,«چاڤی»[PROPN]{NE=Person},چاڤی وەڵامی کاسیاس دەداتەوە
A,چالاکوانەکان,چالاکوان,«چالاکوان»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur},بۆ ڕۆژنامەنووسە چالاکوانەکان باس لەوە دەکات
A,چالاکێکی,چالاک,«چالاک»[ADJ]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},دۆزینەوەی تەرمێکی شکەنجە کراوی چالاکێکی سیاسی لە مەهاباد
A,چانسی,چانس,«چانس»[NOUN]«ی»{Clitic=Izafe},چانسی عەبدولمەهدی لە مالکی زیاترە بۆ وەرگرتنی پۆستی سەرۆک وەزیران
A,چاودێرانی,چاودێر,«چاودێر»[NOUN]«ان»{Number=Plur}«ی»{Clitic=Izafe},لەلایەن چاودێرانی قەوارە سیاسییەکان و چاودێرە نێودەوڵەتییەکان
A,چاوەڕێی,چاوەڕێ,«چاوەڕێ»[ADJ]«ی»{Person=3}{Number=Sing},مۆسیقایش ئارامیت پێ ئەبەخشێ بێ ئەوەی چاوەڕێی هیچیت لێ بکات
A,چاوەکانت,چاو,«چاو»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«ت»{Person[psor]=2}{Number[psor]=Sing},چاوەکانت گرێداوە بە ڕێمەوە
A,چاوێکم,چاو,«چاو»[NOUN]«ێک»{Definite=Ind}«م»{Person=1}{Number=Sing},چاوێکم لە ئاڵبۆمەکەیان کرد
A,چەک,چەک,«چەک»[NOUN],چەک و تەقەمەنییەکی زۆریش دەستی بەسەردا گیراوە
A,چەکداری,چەکدار,«چەکدار»[ADJ]«ی»{Clitic=Izafe},دەیان چەکداری داعش خۆیان ڕادەستی هێزی پێشمەرگەی کوردستان کردووە.
A,چەکدارێکی,چەکدار,«چەکدار»[ADJ]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},نووسەرێکی کۆبانی: هەر چەکدارێکی داعش لە کۆبانی تەمەنی لە شەش ڕۆژ زیاتر نییە
A,چەند,چەند,«چەند»[PRON]{PronType=Int},تا چەند ئەم پیلانەی مەسعود بارزانی سەرکەوتوو دەبێت
A,چوار,چوار,«چوار»[NUM]{NumType=Card},ڕۆژنامەنوسانی ڕۆژهەڵات داوای ئازادکردنی چوار ڕۆژنامەنوسی زیندانی دەکەن
A,چوارچێوەی,چوارچێوە,«چوارچێوە»[NOUN]«ی»{Clitic=Izafe},درێژەی وتووێژی ناڤۆکی ئێران و تاقمی پێنج و یەک لە چوارچێوەی بەرژەوەندی نیشتمانی
A,چووە,چوون,«چوو»[VERB]{Subcat=Intr}{Tense=Past}{Mood=Ind}«Ø»{Person[subj]=3}{Number[subj]=Sing}«ە»{Clitic=E}{AdpType=Post},ئیتۆ چووە ڕووسیا
A,چۆڵ,چۆڵ,«چۆڵ»[ADJ],چۆڵ و کاکی بە کاکی
A,چۆڵی,چۆڵ,«چۆڵ»[NOUN]«ی»{Clitic=Izafe},دۆزینەوەی 19 تۆن چەک و چۆڵی ڕژێمی ئێران لە سنووری ئەفغانستان
A,چۆمانین,چۆمان,«چۆمان»[PROPN]{NE=Location}«ین»{Copula}{Person=1}{Number=Plur},ئێمە خەڵکی چۆمانین، پشتگیری شۆڕشی ڕۆژئاوا دەکەین
A,چۆمی,چەم,«چەم»{NS}[NOUN]«ی»{Clitic=Izafe},لە گوندەکانی حاجی ئاوای سەر چۆمی جەغەتوو
A,چیرۆکەکە,چیرۆک,«چیرۆک»[NOUN]«ەکە»{Definite=Def},پەیامنێرە کوردەکەی گۆڵدن فووت چیرۆکەکە دەگێڕێتەوە
A,چینییەکان,چینی,«چینی»[ADJ]{NE=Demonym}«ەکە»{Definite=Def}«ان»{Number=Plur},پەیوەندیی یەکەمی چینییەکان لە عیراق، لەگەڵ یەکێتیدایە
A,چێشتخانەدا,چێشتخانە,«چێشتخانە»[NOUN]«دا»{Clitic=Da}{AdpType=Circ},لە کوێی چێشتخانەدا بەکتریا هەیە؟
A,حاجی,حاجی,«حاجی»[PROPN]{NE=Person},شۆڕش حاجی نوێنەری لیژنەی دارایی نییە
A,حاکم,حاکم,«حاکم»[NOUN],حاکم قادر: ڕێکخراوەکانی هەرێم دەتوانن بە پڕۆژە کاریگەری لەسەر سکێچی سیاسی و حوکمڕانی دابنێن
A,حاڵەتی,حاڵەت,«حاڵەت»[NOUN]«ی»{Clitic=Izafe},لە حاڵەتی پێداگرییشیاندا، ئیتر زۆرینە خۆی بە لەسەر حەق بزانێت سەرکوتیان بکات.
A,حاڵێکدا,حاڵ,«حاڵ»[NOUN]«ێک»{Definite=Ind}«دا»{Clitic=Da}{AdpType=Circ},لە حاڵێکدا ئەو شەپۆلە لە دەرکردنی کرێکاران سەرتاسەری پارێزگای کرماشان و بەتایبەت شارەکانی قەسرشیرین و کرماشانی گرتووەتەوە
A,حدک,حدک,«حدک»[PROPN]{NE=Organ},دیدارێکی تایبەتی کورد تیڤی کانادا لەگەڵ بەڕیز مستەفا شەڵماشی ئەندامی دەفتەری سیاسی حدک
A,حکومەتی,حکومەت,«حکومەت»[NOUN]«ی»{Clitic=Izafe},میترۆ، داوا لە حکومەتی هەرێم دەکات ژیانی سۆزان جەمال و خێزانەکەی بپارێزێت
A,حەزم,حەز,«حەز»[NOUN]«م»{Person=1}{Number=Sing},وا هەست دەکەم من لەم ساتانەی تەمەندا پێویست یان حەزم بە کاری نواندن بێت
A,حەسەن,حەسەن,«حەسەن»[PROPN]{NE=Person},ئاوارە عەلی حەسەن سەرۆکی شارەوانی قەڵادزێ
A,حەلەب,حەلەب,«حەلەب»[PROPN]{NE=Location},دەیان کەسی دیکەشیان لە شاری حەلەب کوشت.
A,حیزب,حیزب,«حیزب»[NOUN],لەبەرامبەر حیزب و لایەن و کەسایەتییەکانی دەرەوەی کۆنگرەی نەتەوەکانی ئێرانی فیدراڵ یەکگرتوو بن
A,حیزبوڵڵا,حیزبوڵڵا,«حیزبوڵڵا»[PROPN]{NE=Organ},بەرپرسانی ئیسرائیلی پێشتر چەندین جار جەختیان کردبوو کە مۆڵەت نادەن هێزەکانی حیزبوڵڵا چەکەکانی خۆیان لە خاکی سوریاوە بگوازنەوە
A,حیزبی,حیزب,«حیزب»[NOUN]«ی»{Clitic=Izafe},باوکی شەهیدێکی حیزبی دێموکراتی کوردستان لە ناوچەی ڕەبەت کۆچی دوایی کرد
A,حیکایەتەکانی,حیکایەت,«حیکایەت»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«ی»{Clitic=Izafe},حیکایەتەکانی ئەم نیشتمانۆچکەیە
A,خاڵ,خاڵ,«خاڵ»[NOUN],بۆ چارەسەرکردنی گرفتی سوتەمەنی لەسەر هەشت خاڵ ڕێکەوتن
A,خاڵە,خاڵ,«خاڵ»[NOUN]«ە»{Clitic=Izafe},مرۆڤ لەنێوان خاڵە لاواز و بەهێزەکانیدا
A,خاڵی,خاڵ,«خاڵ»[NOUN]«ی»{Person[psor]=3}{Number[psor]=Sing},براینت چەند خاڵی تۆمار کردووە؟
A,خاڵێکی,خاڵ,«خاڵ»[NOUN]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},ئاڵمانیا ڕێککەوتنی ناڤۆکی ئێرانی بە خاڵێکی وەرچەخان زانی
A,خانەنشینی,خانەنشینی,«خانەنشینی»[NOUN],سەرۆکایەتی کۆمار یاسای خانەنشینی ڕەت کردەوە
A,خاوێنی,خاوێن,«خاوێن»[ADJ]«ی»{Person=3}{Number=Sing},فیفا خەڵاتی یاری خاوێنی بەخشییە ئیسپانیا
A,خرپن,خرپن,«خرپن»[ADJ],پەنجەی خرپن ڕومەت گوپن نەرم و نۆڵە سرک و شەرمن
A,خزمانی,خزم,«خزم»[NOUN]«ان»{Number=Plur}«ی»{Clitic=Izafe},مەلا بەختیار ڕۆڵی خزمانی مۆریاسی بەرز نرخاند
A,خزمەتکردن,خزمەتکردن,«خزمەت»«کرد»[NOUN]«ن»{Masdar}{Compound},هاوسەنگەر و هەڤاڵ و هاوڕێی یەک ئامانج و ڕێباز بووین لە خەباتی خزمەتکردن و وەدیهێنانی ئامانجەکانی نەتەوەکەمان
A,خستنەڕوو,خستنەڕوو,«خستن»«ە»«ڕوو»[NOUN]{Masdar}{Compound},خستنەڕوو  و گەیاندنی ڕاستییەکان وەک خۆی بۆ کۆمەڵانی خەڵکی کوردستان 
A,خەبات,خەبات,«خەبات»[NOUN],پەنجا و ئەوەندە ساڵە خەبات دەکات
A,خەریکە,خەریک,«خەریک»[NOUN]«ە»{Copula}{Person=3}{Number=Sing},هێشتا خەریکە بە چەقۆ سێوەکە دەکڕێنێ.
A,خەستەخانەکەدا,خەستەخانە,«خەستەخانە»[NOUN]«ەکە»{Definite=Def}«دا»{Clitic=Da}{AdpType=Circ},لەنێو بەفرگەی خەستەخانەکەدا دەمێنێتەوە
A,خەسووم,خەسوو,«خەسوو»[NOUN]«م»{Person[psor]=1}{Number[psor]=Sing},خەسووم نەخۆشە
A,خەڵکدا,خەڵک,«خەڵک»[NOUN]«دا»{Clitic=Da}{AdpType=Circ},بە پێچەوانەی چالاکییەکانی لە لوبنان پێگەیان لە نێو خەڵکدا نییە
A,خەنجەرێک,خەنجەر,«خەنجەر»[NOUN]«ێک»{Definite=Ind},خەنجەرێک لە سەر شێوەی قەڵا و منارە
A,خەوی,خەو,«خەو»[NOUN]«ی»{Person=3}{Number=Sing},بچم لە خەوی هەستێنم؟
A,خەیاڵ,خەیاڵ,«خەیاڵ»[NOUN],ماڵئاوا جوانتر لە خەیاڵ
A,خەیاڵی,خەیاڵی,«خەیاڵی»[ADJ],قاتە سوورەکەی میسی نرخێکی خەیاڵی هەیە
A,خوازیارین,خوازیار,«خوازیار»[ADJ]«ی»{Person[psor]=3}{Number[psor]=Sing}«ن»{Copula}{Person=2}{Number=Plur},هەر بۆیە خوازیارین پێکەوە بتوانین تۆڕێکی هەماهەنگی دروست بکەین
A,خودا,خودا,«خودا»[NOUN],ئەم شەڕەش نە بە کوشتنی خودا و نە بە ئیرادەی مرۆڤ دەکرێت تاکە ڕێگە هەر ئەوەیە ببینەوە ئاژەڵ!
A,خوداحافیز,خوداحافیز,«خوداحافیز»[PART],خۆم بە تەنیا دەڕۆم، خوداحافیز.
A,خوشکان,خوشک,«خوشک»[NOUN]«ان»{Number=Plur},مەکتەبی سکرتارییەتی یەکگرتووی خوشکان خولێکی دوو ڕۆژەی بۆ دادەکانی کردەوە
A,خوشکمان,خوشک,«خوشک»[NOUN]«مان»{Person[psor]=1}{Number[psor]=Plur},ئەرێ کاکە بۆ خوشکمان ئیزن نادەیت بەیانی چەند سەعاتێک لەگەڵمان بێت
A,خولەکی,خولەک,«خولەک»[NOUN]«ی»{Clitic=Izafe},لە خولەکی 33 دا و لە ڕێگای یاریزان شیلفی
A,خومەینی,خومەینی,«خومەینی»[PROPN]{NE=Person},ئەحمەدینژاد: ئیمام خومەینی، کەسایەتییەکی جیهانییە و بە جوگرافیای ئێرانەوە بەرتەسک ناکرێتەوە
A,خوێناویترین,خوێناوی,«خوێناوی»[ADJ]«ترین»{Degree=Cmp},دوێنێ خوێناویترین ڕۆژ بوو لە سووریا
A,خوێندکاران,خوێندکار,«خوێندکار»[NOUN]«ان»{Number=Plur},گەرمیان: خۆپیشاندانی خوێندکاران دەست پێ دەکاتەوە
A,خوێندکارانی,خوێندکار,«خوێندکار»[NOUN]«ان»{Number=Plur}«ی»{Clitic=Izafe},بەرزبوونەوەی ڕێژەی بەکارهێنانی ماددە هۆشبەرەکان لە نێو خوێندکارانی کچدا
A,خوێندنی,خوێندن,«خوێند»[NOUN]«ن»{Masdar}{Source=Tran}«ی»{Clitic=Izafe},وەک بەڕێوەبەری نوسینگەی وەزارەتی خوێندنی باڵا و توێژینەوەی زانستی لە شاری کەرکوک
A,خۆتانمان,خۆ,«خۆ»[PRON]{Reflex=Yes}«تان»{Person[psor]=2}{Number[psor]=Plur}«مان»{Person=1}{Number=Plur},ئێوە بەم ڕەنگە چەکی خۆتانمان پێ پشان دەدەن و ئەمەش بێ ئەخلاقییە.
A,خۆڕاگر,خۆڕاگرتن,«خۆ»«ڕا»«گر»[ADJ]{Agent}{Compound},هەتا سەر، خۆڕاگر و وەفادار بە ڕێبازی حیزبەکەی مایەوە
A,خۆشەویستی,خۆشەویستی,«خۆشەویستی»[NOUN],هەر ناشزانی مانای ئەشق و خۆشەویستی چییە
A,خۆکوژی,خۆکوژی,«خۆکوژی»[NOUN],هۆکاری سەرەکیی خۆکوژی لە ئێران و بەتایبەت لە ناوچە کوردنشینەکان.
A,خۆم,خۆ,«خۆ»[PRON]{Reflex=Yes}«م»{Person[psor]=1}{Number[psor]=Sing},ئێستا بە خۆشی لە ماڵێکدا خۆم و ژنەکەم و دوو کچ و کوڕەکەم بەبەختەوەریی دەژین.
A,خۆمان,خۆ,«خۆ»[PRON]{Reflex=Yes}«مان»{Person=1}{Number=Plur},لە چەند ڕۆژی داهاتوودا هەڵوێستی خۆمان لە سەر پاکێجی دێموکراسی ڕادەگەیەنین.
A,خۆوە,خۆ,«خۆ»[PRON]{Reflex=Yes}«ەوە»{Clitic=Ewe}{AdpType=Circ},هەروەها وڵات بزووتنەوەی ناڕەزایەتی کۆمەڵایەتی بەردەوام و ڕێکخراوی بە خۆوە دەبینێت.
A,خۆی,خۆ,«خۆ»[PRON]{Reflex=Yes}«ی»{Person[psor]=3}{Number[psor]=Sing},وەک پێویست نەتوانێت هەڵسوڕان و چالاکی بنوێنێ و دەوری خۆی بگێڕێ.
A,خۆیدا,خۆ,«خۆ»[PRON]{Reflex=Yes}«ی»{Person[psor]=3}{Number[psor]=Sing}«دا»{Clitic=Da}{AdpType=Circ},لە پۆستەکەی خۆیدا دەمێنێتەوە
A,دا,دان,«دا»[VERB]{Subcat=Tran}{Tense=Past}{Mood=Ind}«Ø»{Person[abs]=3}{Number[abs]=Sing},لە ماوەی کەمتر لە سێ هەفتەدا ڕووی دا
A,داب,داب,«داب»[NOUN],کە منداڵیشی دەبوو بە پێی داب و نەریتی گوندەکە، منداڵەکەی سەرانشۆ دەدا.
